鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物),臺北市內湖區金龍路222巷1~30號,20.09,住,,,1090407,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,64.49000000000001,2,1,1,有,有,12000000,186075,,0.0,0,,RPUNMLMLMHPFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區金湖路31~60號,13.31,住,,,1090409,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920930,63.25,3,2,2,有,有,4350000,68775,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLMLMHPFFCA77CA
內湖區,房地(土地+建物),臺北市內湖區港華街51巷1弄1~30號,25.01,住,,,1090301,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701021,96.35,3,2,2,有,無,12580000,130566,,0.0,0,含增建或未登記建物。;,RPUOMLMLMHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街31~60號,58.95,住,,,1090304,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990505,273.07,3,2,3,有,有,52250000,191343,坡道平面,28.29,0,,RPXOMLMLMHPFFCA58CA
中山區,房地(土地+建物),臺北市中山區農安街1~30號,10.27,商,,,1090331,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931117,76.5,3,2,2,有,有,20600000,269281,,0.0,0,,RPVQMLMLMHPFFCA58CA
中山區,房地(土地+建物),臺北市中山區雙城街7巷1~30號,30.0,商,,,1090312,土地1建物1車位0,三層，陽台,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0620123,144.49,3,2,2,有,無,24000000,166101,,0.0,0,,RPXQMLMLMHPFFCA78CA
中山區,房地(土地+建物),臺北市中山區新生北路二段61~90號,3.44,住,,,1090326,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680301,15.93,1,0,1,有,有,2000000,125549,,0.0,0,,RPVNMLNLMHPFFCA38CA
中山區,房地(土地+建物)+車位,臺北市中山區明水路397巷1~30號,70.85,住,,,1090326,土地1建物1車位3,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961204,406.73,4,2,3,有,有,127075000,312431,坡道平面,103.44,0,,RPTPMLNLMHPFFCA38CA
內湖區,房地(土地+建物),臺北市內湖區環山路二段1~30號,29.33,住,,,1090315,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701002,101.6,3,2,1,有,無,13830000,136122,,0.0,0,含增建或未登記建物。;,RPTNMLSLMHPFFCA68CA
中山區,房地(土地+建物),臺北市中山區民權東路三段1~30號,8.86,商,,,1090321,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住商用,鋼筋混凝土造,0671214,36.96,1,1,1,有,有,7300000,197511,,0.0,0,含增建或未登記建物。;,RPPNMLSLMHPFFCA28CA
