鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物),臺中市南區新和街61~90號,81.0,住,,,1090324,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0771230,183.82,5,2,3,有,無,14600000,79426,,0.0,0,,RPWNMLKMMHPFFAB18CA
西區,土地,後子段301~330地號,39.75,其他,,,1090320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5414112,136204,,0.0,0,包含公共設施保留地之交易。;,RPWOMLTLMHPFFAB09CA
南區,房地(土地+建物),臺中市南區工學北路121~150號,12.36,商,,,1090324,土地4建物1車位0,七層,十二層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0791210,142.03,3,2,2,有,有,6000000,42245,,0.0,0,,RPTOMLRLMHPFFAB58CA
南區,土地,下橋子頭段121~150地號,639.0,住,,,1090409,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000000,140845,,0.0,0,附建照,RPTOMLOLMHPFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區正氣街31~60號,19.46,商,,,1090306,土地4建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030506,174.73,3,2,2,有,有,11000000,62954,坡道平面,36.39,0,,RPOOMLSLMHPFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區建國南路二段31~60號,22.04,住,,,1090322,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060525,130.12,2,1,1,有,有,8600000,66093,坡道平面,39.17,0,,RPSPMLSLMHPFFAB68CA
東區,土地,樂業段1~30地號,5.2,住,,,1090329,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,57692,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPPOMLOLMHPFFAB87CA
南區,房地(土地+建物)+車位,臺中市南區大慶街一段130巷31~60號,11.14,住,,,1090410,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970624,101.23,1,1,1,有,有,5000000,49392,坡道平面,31.49,0,,RPPOMLNLMHPFFAB77CA
南區,土地,樹子腳段1381~1410地號,20.5,工,,,1090408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,126829,,0.0,0,,RPUOMLNLMHPFFAB28CA
東區,房地(土地+建物),臺中市東區旱溪街1~30號,93.0,住,,,1090312,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0780112,144.25,4,2,2,有,無,4500000,31196,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLNLMHPFFAB38CA
西區,土地,麻園頭段1~30地號,6.96,商,,,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2140000,307471,,0.0,0,,RPQNMLNLMHPFFAB77CA
東區,房地(土地+建物),臺中市東區東區東英12街1~30號,101.51,住,,,1090403,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0790106,250.48,4,2,3,有,無,16000000,63877,,0.0,0,含增建或未登記建物。;,RPPQMLMLMHPFFAB87CA
西區,房地(土地+建物)+車位,臺中市西區公館路202巷1~30號,21.73,住,,,1090306,土地2建物1車位1,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850104,156.93,3,2,2,有,有,8800000,56076,坡道平面,0.0,0,,RPWOMLNLMHPFFAB48CA
東區,土地,旱溪段271~300地號,49.0,住,,,1090330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8595600,175420,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPROMLOLMHPFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區文心南路721~750號,19.42,住,,,1090330,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830304,134.19,3,2,2,有,有,6000000,44713,升降機械,0.0,0,,RPTOMLSLMHPFFAB68CA
西區,房地(土地+建物),臺中市西區美村路一段1~30號,223.96,其他,,,1090117,土地1建物3車位0,十四層,十四層,辦公商業大樓,商業用,鋼筋混凝土造,0810701,2673.45,0,0,0,無,有,116800000,43689,,0.0,0,,RPUOMLOLMHPFFAB38CA
東區,房地(土地+建物),臺中市東區富貴街61~90號,72.0,住,,,1090316,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0760316,142.57,4,2,2,有,無,9000000,63127,,0.0,0,,RPPOMLRLMHPFFAB18CA
西區,房地(土地+建物),臺中市西區公益路124巷1~30號,27.26,住,,,1090410,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770224,104.00999999999999,3,2,2,有,有,6300000,60571,,0.0,0,,RPSPMLRLMHPFFAB58CA
南區,房地(土地+建物),臺中市南區復興路二段71巷61~90號,401.0,住,,,1090226,土地2建物1車位0,一層,一層,工廠,工業用,見其他登記事項,0631231,272.88,0,0,0,無,無,70956000,,,0.0,0,,RPPNMLSLMHPFFAB18CA
南區,房地(土地+建物)+車位,臺中市南區工學二街115巷1~30號,18.29,住,,,1090320,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,133.76,3,2,2,有,有,6500000,48594,坡道平面,25.04,0,,RPTNMLSLMHPFFAB58CA
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.83,住,,,1090327,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,30.21,0,0,0,無,有,1250000,41377,,0.0,0,,RPXQMLTLMHPFFAB76CA
南區,房地(土地+建物),臺中市南區合作街388巷1~30號,22.88,住,,,1090403,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,見其他登記事項,0670701,56.28,2,2,1,有,無,2400000,42644,,0.0,0,,RPORMLTLMHPFFAB58CA
南區,房地(土地+建物),臺中市南區正義街238巷1~30號,39.5,住,,,1090322,土地1建物1車位0,一層，地下層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0660513,113.21,5,1,2,有,無,5780000,51056,,0.0,0,,RPQPMLPJNHPFFAB08CA
中區,車位,臺中市中區綠川西街121~150號,0.0,,,,1090402,土地0建物0車位1,地下三層,十二層,其他,見其他登記事項,鋼筋混凝土造,0791128,24.630000000000003,0,0,0,有,無,330000,,升降機械,0.0,330000,,RPUSMLOJNHPFFAB68CA
南區,房地(土地+建物),臺中市南區南和一街6巷1~30號,25.26,住,,,1090312,土地1建物1車位0,一層，二層，三層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830718,137.37,3,2,3,有,有,4780000,34797,,0.0,0,含增建或未登記建物。,RPPPMLKMMHPFFAB67CA
南區,房地(土地+建物),臺中市南區工學北路151~180號,15.26,住,,,1090407,土地4建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840123,133.72,3,2,2,有,有,6360000,47562,,0.0,0,,RPPNMLLJNHPFFAB37CA
東區,房地(土地+建物),臺中市東區一心街241~270號,11.09,商,,,1090327,土地1建物2車位0,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1020205,74.13,2,1,1,有,有,4400000,59355,,0.0,0,,RPWNMLLJNHPFFAB08CA
南區,車位,臺中市南區台中路421~450號,0.0,,,,1090401,土地0建物0車位1,,,其他,,,,6.56,0,0,0,有,有,404000,,坡道機械,0.0,404000,單獨車位交易。;,RPTRMLOJNHPFFAB48CA
東區,房地(土地+建物),臺中市東區復興路四段138巷1~30號,48.0,商,,,1090326,土地1建物1車位0,全,二層,透天厝,商業用,加強磚造,,90.26,2,2,2,有,無,6500000,72014,,0.0,0,,RPQPMLQJNHPFFAB18CA
南區,房地(土地+建物),臺中市南區五權南路481~510號,5.35,住,,,1090326,土地1建物1車位0,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970121,69.25,2,0,2,有,有,5000000,72202,,0.0,0,含增建或未登記建物。;,RPUOMLRJNHPFFAB58CA
中區,土地,中華段五小段1~30地號,426.0,其他,,,1090320,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32614560,76560,,0.0,0,包含公共設施保留地之交易。;,RPSOMLQJNHPFFAB28CA
西區,房地(土地+建物),臺中市西區自立街61~90號,30.04,住,,,1090302,土地4建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690512,110.59,3,2,2,有,有,5750000,51994,,0.0,0,,RPUPMLQJNHPFFAB58CA
西區,房地(土地+建物)+車位,臺中市西區向上路一段31~60號,13.14,商,,,1090318,土地3建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0801121,201.12,4,2,2,有,有,8080000,40175,升降機械,0.0,0,,RPSNMLQKNHPFFAB28CA
南區,房地(土地+建物),臺中市南區南門路59巷36弄1~30號,96.29,住,,,1090404,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1000103,267.92,5,2,4,有,有,23500000,87713,,0.0,0,,RPSNMLPKNHPFFAB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區山西路三段211~240號,30.48,住,,,1090322,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031223,264.28999999999996,4,2,2,有,有,23000000,87026,坡道平面,49.66,0,,RPXQMLOLMHPFFBB98CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段541~570號,12.0,住,,,1090301,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840409,134.35999999999999,3,2,2,有,無,6980000,51950,坡道平面,0.0,0,,RPPRMLOLMHPFFBB28CA
北區,房地(土地+建物),臺中市北區中清路一段361~390號,27.88,住,,,1090302,土地2建物2車位0,八層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0800501,339.0,0,0,0,無,有,9280000,27375,,0.0,0,,RPQOMLRLMHPFFBB38CA
北區,房地(土地+建物)+車位,臺中市北區中清路一段631~660號,12.87,住,,,1090315,土地1建物1車位1,十一層，十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,161.03,3,2,2,有,有,9280000,57629,坡道平面,0.0,0,,RPROMLRLMHPFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區南京東路三段12巷31~60號,26.6,住,,,1090223,土地4建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790112,109.36000000000001,3,2,2,有,有,5180000,47366,坡道機械,0.0,700000,含增建或未登記建物。,RPVRMLOLMHPFFBB88CA
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路391~420號,27.25,其他,,,1090315,土地2建物1車位1,十層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040826,211.51,3,2,2,有,有,15680000,79019,坡道平面,32.06,1500000,,RPPNMLPLMHPFFBB97CA
北屯區,土地,水湳段271~300地號,7.0,其他,,,1090304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,804699,114957,,0.0,0,公共設施保留地之交易。,RPQNMLQLMHPFFBB18CA
北區,房地(土地+建物),臺中市北區原子街151~180號,24.83,商,,,1090320,土地1建物1車位0,一層，見其他登記事項,十二層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0980902,148.5,0,0,0,無,有,12500000,84175,,0.0,0,,RPVNMLRLMHPFFBB78CA
北區,房地(土地+建物),臺中市北區健行路425巷1~30號,16.8,住,,,1090223,土地1建物2車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690424,68.22,4,0,4,有,無,5718000,83817,,0.0,0,,RPWNMLRLMHPFFBB88CA
北屯區,房地(土地+建物),臺中市北屯區昌平路二段4巷31~60號,15.02,住,,,1090215,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830426,94.35,3,2,2,有,有,5000000,52994,,0.0,0,,RPOOMLRLMHPFFBB18CA
北屯區,土地,陳平段1441~1470地號,23.0,其他,,,1090327,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,39130,,0.0,0,包含公共設施保留地之交易。;,RPOOMLSLMHPFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區東山路一段225之16巷1~30號,14.39,住,,,1090215,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800419,121.84,3,2,1,有,有,4650000,38165,,0.0,0,,RPXOMLRLMHPFFBB09CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍榮一街1~30號,17.67,商,,,1090313,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041016,152.70999999999998,3,2,2,有,有,8800000,57626,坡道平面,22.46,0,,RPQPMLRLMHPFFBB48CA
北區,房地(土地+建物),臺中市北區漢陽街121~150號,74.0,住,,,1090323,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0750429,105.05,5,2,2,有,無,13000000,123751,,0.0,0,"一樓空地,頂樓",RPPNMLTLMHPFFBB38CA
北區,房地(土地+建物),臺中市北區三民路三段241~270號,127.0,商,,,1090310,土地1建物1車位0,全,三層,透天厝,商業用,加強磚造,0600226,157.16,6,3,6,有,無,27500000,174981,,0.0,0,含增建或未登記建物。;,RPTNMLTLMHPFFBB78CA
北屯區,房地(土地+建物),臺中市北屯區永定二街61~90號,27.05,住,,,1090323,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741211,108.14,3,2,2,有,無,4150000,38376,,0.0,0,含增建或未登記建物。;,RPOPMLLJNHPFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路211~240號,33.67,住,,,1090402,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061101,185.48000000000002,3,2,2,有,有,10750000,57958,坡道平面,18.56,0,,RPROMLKMMHPFFBB87CA
北屯區,房地(土地+建物)+車位,臺中市北屯區雷中街19巷61~90號,31.5,住,,,1090401,土地1建物2車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801119,128.31,3,2,2,有,無,4250000,33123,升降機械,32.88,0,,RPPNMLKMMHPFFBB57CA
