鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
板橋區,房地(土地+建物),新北市板橋區廣和街61~90號,7.78,住,,,1090111,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971120.0,71.84,3,1,1,有,有,8700000,121102.0,,0.0,0,含增建或未登記建物。;,RPSWMLSJNHPFFAF07CA,新北市
新店區,房地(土地+建物)+車位,新北市新店區三民路1~30號,18.28,住,,,1090310,土地1建物1車位1,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821122.0,190.83,4,2,2,有,有,23000000,120526.0,坡道平面,0.0,0,含增建或未登記建物。;,RPTOMLOLMHPFFCF88CA,新北市
新店區,房地(土地+建物)+車位,新北市新店區安興路1~30號,11.57,住,,,1090314,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840513.0,120.51,2,1,1,有,有,9100000,75506.0,坡道平面,0.0,0,含增建或未登記建物。;,RPPPMLOLMHPFFCF58CA,新北市
新店區,房地(土地+建物),新北市新店區達觀路8巷1~30號,50.8,,山坡地保育區,丙種建築用地,1090315,土地5建物1車位0,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850627.0,113.24,3,2,2,有,有,8500000,75062.0,,0.0,0,含增建或未登記建物。;,RPQPMLOLMHPFFCF68CA,新北市
汐止區,房地(土地+建物),新北市汐止區大同路二段211~240號,6.02,住,,,1090412,土地1建物1車位0,十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223.0,67.11,2,1,1,有,有,8680000,129340.0,,0.0,0,,RPTNMLOLMHPFFDF88CA,新北市
汐止區,房地(土地+建物),新北市汐止區福德一路1~30號,18.51,住,,,1090321,土地2建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860305.0,124.4,3,2,2,有,有,11150000,89630.0,,0.0,0,,RPROMLPJNHPFFDF78CA,新北市
汐止區,房地(土地+建物)+車位,新北市汐止區保長路61~90號,21.79,住,,,1090318,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990525.0,153.81,3,2,2,有,有,7900000,51362.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPROMLKLNHPFFDF48CA,新北市
汐止區,房地(土地+建物)+車位,新北市汐止區仁愛路211~240號,20.34,住,,,1090314,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950811.0,211.4,3,2,2,有,有,17700000,83728.0,坡道平面,43.44,0,含增建或未登記建物。;,RPQPMLNKNHPFFDF68CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路四段230巷61~90號,19.48,住,,,1090324,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080118.0,137.3,2,2,2,有,有,8400000,61180.0,坡道平面,32.76,0,,RPQOMLNLMHPFFEF68CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路四段230巷61~90號,19.48,住,,,1090408,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080118.0,137.3,2,2,2,有,有,8750000,63729.0,坡道平面,32.76,0,,RPROMLNLMHPFFEF78CA,新北市
八里區,房地(土地+建物),新北市八里區中華路二段391~420號,9.72,住,,,1090324,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841013.0,90.92,2,2,1,有,無,4500000,49494.0,,0.0,0,,RPPOMLOLMHPFFEF68CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段271~300號,10.34,商,,,1090210,土地1建物1車位1,十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525.0,149.23000000000005,3,2,2,有,有,9300000,62320.0,坡道平面,30.46,0,親友、員工或其他特殊關係間之交易。;,RPQQMLPKNHPFFEF09CA,新北市
三重區,房地(土地+建物)+車位,新北市三重區集賢路31~60號,14.14,住,,,1090301,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960628.0,122.75,2,1,1,有,有,11500000,93686.0,坡道平面,38.49,0,含增建或未登記建物。;,RPVOMLKMMHPFFGF56CA,新北市
