鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳仁路110巷301~330號,27.77,住,,,1080714,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090304,155.94,3,2,2,有,有,8450000,54188,坡道平面,0.0,0,,RPRPMLSJNHPFFGE76CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳仁路110巷331~360號,14.56,住,,,1081104,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090304,81.31,2,2,1,有,有,4950000,60878,坡道機械,0.0,0,含裝潢,RPSPMLSJNHPFFGE86CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鳳仁路110巷331~360號,17.86,住,,,1081128,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090304,99.57,2,2,1,有,有,5790000,58150,坡道機械,0.0,0,,RPUPMLSJNHPFFGE07CA
鳳山區,土地,鳳青段121~150地號,246.75,住,,,1090223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35454000,143684,,0.0,0,,RPQNMLLKNHPFFGE48CA
鳳山區,房地(土地+建物),高雄市鳳山區過智街121~150號,73.81,住,,,1090406,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1030713,201.79,5,2,5,有,無,15100000,74830,,0.0,0,,RPOOMLLKNHPFFGE38CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區鎮東街61~90號,26.06,住,,,1090321,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050819,155.38,3,2,2,有,有,7600000,48912,坡道平面,29.87,0,,RPROMLLKNHPFFGE68CA
鳳山區,房地(土地+建物),高雄市鳳山區同明街31~60號,23.07,住,,,1090324,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681018,72.43,3,2,2,有,無,2000000,27613,,0.0,0,,RPTOMLLKNHPFFGE88CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區南福街121~150號,4.64,住,,,1090401,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850125,42.32,1,1,1,有,有,1900000,44896,升降機械,0.0,0,,RPOQMLLJNHPFFGE48CA
梓官區,土地,新甲段811~840地號,135.31,,鄉村區,乙種建築用地,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4093000,30249,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLSKNHPFFFE09CA
橋頭區,房地(土地+建物),高雄市橋頭區芋寮路1~30號,182.33,,鄉村區,乙種建築用地,1080626,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081224,252.42,4,2,5,有,無,9680000,38349,,0.0,0,,RPUNMLKLNHPFFFE78CA
梓官區,土地,茄苳坑段361~390地號,104.0,,一般農業區,甲種建築用地,1090408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,20192,,0.0,0,含增建或未登記建物。;,RPQOMLRJNHPFFFE98CA
