鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
梧棲區,土地,信義段241~270地號,893.0,農,,,1090327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8160000,9138.0,,0.0,0,"含增建或未登記建物。;承買人合計二人,各承買1/2",RPPNMLKKNHPFFFB87CA,臺中市
東勢區,土地,石壁坑段31~60地號,3129.0,,山坡地保育區,農牧用地,1090320,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16200000,5177.0,,0.0,0,本案買賣總價包含109年收件山東登字第000730號之買賣價金,RPRNMLMKNHPFFGB38CA,臺中市
新社區,土地,糖段481~510地號,670.22,住,,,1090225,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19200000,28647.0,,0.0,0,,RPRNMLRJNHPFFGB78CA,臺中市
東勢區,土地,東勢段石角小段2521~2550地號,5548.0,,山坡地保育區,農牧用地,1090315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,505.0,,0.0,0,,RPPNMLSLMHPFFGB78CA,臺中市
潭子區,房地(土地+建物),臺中市潭子區勝利三街91~120號,13.27,住,,,1090316,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840718.0,74.2,2,1,1,有,有,4200000,56604.0,,0.0,0,,RPRNMLSLMHPFFHB09CA,臺中市
潭子區,房地(土地+建物),臺中市潭子區復興路一段91~120號,17.0,住,,,1090324,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,811216.0,107.21,3,2,2,有,有,4400000,41041.0,,0.0,0,含增建或未登記建物。;,RPUPMLNLMHPFFHB09CA,臺中市
大雅區,土地,自立段271~300地號,713.0,農,,,1090227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17850000,25035.0,,0.0,0,,RPPNMLOLMHPFFHB48CA,臺中市
潭子區,房地(土地+建物),臺中市潭子區大明二路1~30號,55.32,住,,,1090205,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,810905.0,245.17,3,2,2,有,無,5200000,21210.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLOLMHPFFHB58CA,臺中市
潭子區,土地,僑忠段31~60地號,1104.07,農,,,1090401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19000000,17209.0,,0.0,0,,RPTPMLOLMHPFFHB09CA,臺中市
大雅區,土地,自強段1501~1530地號,143.84,,特定農業區,甲種建築用地,1090406,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4356000,30284.0,,0.0,0,,RPPRMLOLMHPFFHB88CA,臺中市
潭子區,土地,摘星段691~720地號,69.13,其他,,,1090413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,470000,6799.0,,0.0,0,包含公共設施保留地之交易。;,RPPNMLTLMHPFFHB98CA,臺中市
大雅區,房地(土地+建物),臺中市大雅區民族街147北三巷31~60號,69.0,農,,,1090412,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,980716.0,162.02,4,3,3,有,無,10700000,66041.0,,0.0,0,,RPQNMLLJNHPFFHB18CA,臺中市
大雅區,土地,自立段271~300地號,870.0,農,,,1090303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19190000,22057.0,,0.0,0,,RPRNMLPJNHPFFHB68CA,臺中市
大雅區,房地(土地+建物),臺中市大雅區中山北路197巷61~90號,82.69,住,,,1090316,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,821028.0,231.94,4,3,3,有,有,9880000,42597.0,,0.0,0,,RPSNMLSJNHPFFHB09CA,臺中市
烏日區,土地,中華段811~840地號,324.94,住,,,1090207,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20200000,62165.0,,0.0,0,,RPTNMLRLMHPFFIB66CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區東明路121~150號,11.98,住,,,1090307,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030514.0,115.37,2,2,1,有,無,6300000,64128.0,坡道平面,20.56,220000,親友、員工或其他特殊關係間之交易。;,RPQNMLOLMHPFFIB68CA,臺中市
霧峰區,土地,霧峰段北溝小段1~30地號,3000.0,,山坡地保育區,農牧用地,1090319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1720000,573.0,,0.0,0,,RPQOMLOLMHPFFIB78CA,臺中市
大里區,房地(土地+建物),臺中市大里區東明路147巷61~90號,21.74,住,,,1090329,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,791015.0,118.49,2,2,2,有,有,6000000,50637.0,,0.0,0,,RPQNMLPLMHPFFIB78CA,臺中市
大里區,房地(土地+建物),臺中市大里區好來五街1~30號,68.68,,鄉村區,乙種建築用地,1090405,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,660628.0,81.69,4,2,2,有,無,5500000,67328.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLPLMHPFFIB98CA,臺中市
大里區,房地(土地+建物)+車位,臺中市大里區中興路二段日新巷22弄1~30號,41.83,住,,,1090319,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051219.0,201.1,3,2,2,有,有,13180000,65540.0,坡道平面,37.88,0,,RPQOMLSLMHPFFIB56CA,臺中市
烏日區,房地(土地+建物)+車位,臺中市烏日區中山路一段1~30號,11.86,住,,,1090410,土地1建物1車位1,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,830708.0,126.19,3,2,2,有,有,4900000,38830.0,坡道機械,0.0,0,,RPRPMLSLMHPFFIB76CA,臺中市
大里區,房地(土地+建物),臺中市大里區公教街60巷61~90號,83.67,,鄉村區,乙種建築用地,1090329,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,810730.0,178.6,4,2,4,有,無,8800000,49272.0,,0.0,0,,RPWNMLKMMHPFFIB98CA,臺中市
大里區,房地(土地+建物),臺中市大里區仁美路49巷1~30號,100.2,,鄉村區,乙種建築用地,1090324,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,900525.0,189.45,4,3,3,有,有,11880000,62708.0,,0.0,0,含增建或未登記建物。;,RPSNMLMJNHPFFIB58CA,臺中市
